timestamp, sample_id, ambient_temperature_C, relative_humidity_percent, soil_temperature_C, soil_moisture_adc
2025-11-18T21:36:45-06:00,1,29.8,91.2,25.4375,60734
2025-11-18T21:37:02-06:00,2,30,77.7,25.4375,61022
2025-11-18T21:37:19-06:00,3,29.9,68.5,25.4375,61070
2025-11-18T21:37:36-06:00,4,29.7,65.3,25.4375,60990
2025-11-18T21:37:59-06:00,5,29.5,64,25.5,61022
2025-11-18T21:38:19-06:00,6,29.3,63.7,25.4375,61038
2025-11-18T21:38:39-06:00,7,29.1,63.8,25.5,61038
2025-11-18T21:38:59-06:00,8,29,64,25.4375,60990
2025-11-18T21:39:19-06:00,9,28.8,64.1,25.4375,61070
2025-11-18T21:39:39-06:00,10,28.8,64.4,25.375,61070
2025-11-18T21:39:59-06:00,11,28.7,64.5,25.375,61022
2025-11-18T21:40:19-06:00,12,28.6,64.6,25.3125,61150
2025-11-18T21:40:39-06:00,13,28.5,64.7,25.3125,61022
2025-11-18T21:40:59-06:00,14,28.5,64.8,25.3125,60974
2025-11-18T21:41:19-06:00,15,28.4,65.2,25.3125,61038
2025-11-18T21:41:39-06:00,16,28.3,65.3,25.3125,60894
2025-11-18T21:41:59-06:00,17,28.3,65.5,25.25,60686
2025-11-18T21:42:19-06:00,18,28.3,65.6,25.25,60798
2025-11-18T21:42:39-06:00,19,28.3,65.6,25.25,60878
2025-11-18T21:42:59-06:00,20,28.3,65.5,25.25,60894
2025-11-18T21:43:19-06:00,21,28.2,65.4,25.25,60878
2025-11-18T21:43:39-06:00,22,28.3,65.5,25.1875,60894
2025-11-18T21:43:59-06:00,23,28.2,65.6,25.125,60878
2025-11-18T21:44:19-06:00,24,28.2,65.6,25.125,60910
2025-11-18T21:44:39-06:00,25,28.1,65.7,25.125,60894
2025-11-18T21:44:59-06:00,26,28.1,65.8,25.0625,60910
2025-11-18T21:45:19-06:00,27,28.1,65.7,25.0625,60878
2025-11-18T21:45:39-06:00,28,28.1,65.6,25.0625,60910
2025-11-18T21:45:59-06:00,29,28,65.7,25.0625,60942
2025-11-18T21:46:19-06:00,30,28,65.8,25,60862
2025-11-18T21:46:39-06:00,31,28,65.9,25,60942
2025-11-18T21:46:59-06:00,32,28,65.9,25,60910
2025-11-18T21:47:20-06:00,33,28,65.8,25,60894
2025-11-18T21:47:39-06:00,34,28,65.8,25,60846
2025-11-18T21:47:59-06:00,35,28,65.7,25,60990
2025-11-18T21:48:19-06:00,36,28,65.7,24.9375,60942
2025-11-18T21:48:39-06:00,37,28,65.8,25,60974
2025-11-18T21:49:02-06:00,38,27.9,65.9,25,60990
2025-11-18T21:49:19-06:00,39,27.8,66,25,60974
2025-11-18T21:49:39-06:00,40,27.8,66.1,24.9375,60974
2025-11-18T21:49:59-06:00,41,27.8,66.2,25,60942
2025-11-18T21:50:19-06:00,42,27.8,66.3,25,60958
2025-11-18T21:50:39-06:00,43,27.8,66.3,25,60974
2025-11-18T21:50:59-06:00,44,27.8,66.3,25,60942
2025-11-19T15:34:22-06:00,45,28.5,61,26.6875,52540
2025-11-19T15:34:41-06:00,46,28.7,60,26.6875,52876
2025-11-19T15:35:02-06:00,47,28.8,59.4,26.625,53036
2025-11-19T15:35:22-06:00,48,28.9,59,26.6875,53148
2025-11-19T15:35:42-06:00,49,28.9,59.1,26.6875,53469
2025-11-19T15:36:02-06:00,50,29,58.3,26.75,53453
2025-11-19T15:36:22-06:00,51,29,57.9,26.75,53549
2025-11-19T15:36:42-06:00,52,29,58.1,26.6875,53613
2025-11-19T15:37:02-06:00,53,29,58.2,26.6875,53325
2025-11-19T15:37:22-06:00,54,29.1,58.3,26.75,53677
2025-11-19T15:37:42-06:00,55,29.1,58.1,26.6875,53725
2025-11-19T15:38:01-06:00,56,29.2,58,26.6875,53869
2025-11-19T15:38:22-06:00,57,29.3,57.7,26.8125,54109
2025-11-19T15:38:42-06:00,58,29.4,57.7,26.6875,54157
2025-11-19T15:39:02-06:00,59,29.4,57.6,26.75,54109
2025-11-19T15:39:22-06:00,60,29.5,57.8,26.6875,54429
2025-11-19T15:39:42-06:00,61,29.6,57.5,26.75,54189
2025-11-19T15:40:01-06:00,62,29.7,57.4,26.75,54093
2025-11-19T15:40:22-06:00,63,29.8,56.6,26.75,54077
2025-11-19T15:40:42-06:00,64,29.9,56.4,26.75,54461
2025-11-19T15:41:01-06:00,65,29.9,56.1,26.75,54461
2025-11-19T15:41:22-06:00,66,29.9,56.2,26.75,54509
2025-11-19T15:41:42-06:00,67,30,56.4,26.75,54541
2025-11-19T15:42:04-06:00,68,30.1,56.5,26.75,54381
2025-11-19T15:42:22-06:00,69,30.2,56.2,26.75,54509
2025-11-19T15:42:42-06:00,70,30.2,56.2,26.8125,54749
2025-11-19T15:43:09-06:00,71,30.3,56.1,26.8125,54589
2025-11-19T15:43:31-06:00,72,30.4,55.9,26.75,54733
2025-11-19T15:43:52-06:00,73,30.5,55.8,26.75,54781
2025-11-19T15:44:11-06:00,74,30.5,55.7,26.75,54605
2025-11-19T15:44:32-06:00,75,30.5,55.5,26.8125,54989
2025-11-19T15:44:51-06:00,76,30.5,55.5,26.8125,54925
2025-11-19T15:45:11-06:00,77,30.5,55.7,26.8125,54877
2025-11-19T15:45:32-06:00,78,30.5,55.8,26.75,54669
2025-11-19T15:45:52-06:00,79,30.5,55.6,26.75,54941
2025-11-19T15:46:12-06:00,80,30.5,55.5,26.8125,54893
2025-11-19T15:46:32-06:00,81,30.5,55.4,26.8125,54765
2025-11-19T15:46:52-06:00,82,30.6,55.4,26.875,54973
2025-11-19T15:47:12-06:00,83,30.6,55.5,26.875,54861
2025-11-19T15:47:32-06:00,84,30.7,55.5,26.875,55005
2025-11-19T15:47:54-06:00,85,30.7,55.4,26.875,54925
2025-11-19T15:48:11-06:00,86,30.8,55.1,26.875,55213
2025-11-19T15:48:32-06:00,87,30.8,55,26.875,55149
2025-11-19T15:48:52-06:00,88,30.9,55,26.9375,55181
2025-11-19T15:49:11-06:00,89,30.9,54.7,26.875,55117
2025-11-19T15:49:31-06:00,90,30.9,54.5,26.9375,55213
2025-11-19T15:49:52-06:00,91,30.9,54.7,26.9375,55181
2025-11-19T15:50:12-06:00,92,30.9,54.6,26.875,55197
2025-11-19T15:50:31-06:00,93,30.9,54.5,26.875,55229
2025-11-19T15:50:47-06:00,94,31,54.1,26.875,55165
2025-11-19T15:51:04-06:00,95,31,53.9,26.875,55229
2025-11-19T15:51:22-06:00,96,31,53.9,26.9375,55069
2025-11-19T15:51:43-06:00,97,31,53.8,26.9375,55213
2025-11-19T15:52:01-06:00,98,31,53.6,26.9375,55229
2025-11-19T15:52:22-06:00,99,31.1,53.9,27,55325
2025-11-19T15:52:42-06:00,100,31.1,53.8,26.9375,55341
2025-11-19T15:53:01-06:00,101,31.1,53.2,26.9375,55197
2025-11-19T15:53:22-06:00,102,31.1,53,26.9375,55245
2025-11-19T15:53:42-06:00,103,31.1,53.1,27,55197
2025-11-19T15:54:02-06:00,104,31.2,53,27,55261
2025-11-19T15:54:21-06:00,105,31.3,53,27,55373
2025-11-19T15:54:42-06:00,106,31.3,53.1,27,55277
2025-11-19T15:55:02-06:00,107,31.4,53.2,27,55325
2025-11-19T15:55:22-06:00,108,31.4,53,26.9375,55453
2025-11-19T15:55:42-06:00,109,31.4,53.1,27,55389
2025-11-19T15:56:04-06:00,110,31.4,53.2,27.0625,55101
2025-11-19T15:56:22-06:00,111,31.5,53.1,27,55357
2025-11-19T15:56:42-06:00,112,31.5,53,27.0625,55149
2025-11-19T15:57:02-06:00,113,31.6,52.9,27,55501
2025-11-19T15:57:21-06:00,114,31.6,52.9,27.0625,55277
2025-11-19T15:57:43-06:00,115,31.6,52.9,27,55437
2025-11-19T15:58:02-06:00,116,31.6,52.9,27.0625,55309
2025-11-19T15:58:21-06:00,117,31.6,53.1,27,55437
2025-11-19T15:58:42-06:00,118,31.6,53.2,27.125,55533
2025-11-19T15:59:02-06:00,119,31.6,53.4,27.0625,55325
2025-11-19T15:59:21-06:00,120,31.6,53.5,27.0625,55325
2025-11-19T15:59:42-06:00,121,31.7,53.5,27.0625,55357
2025-11-19T16:00:02-06:00,122,31.7,53.5,27.0625,55389
2025-11-19T16:00:23-06:00,123,31.7,53.6,27.0625,55501
2025-11-19T16:00:42-06:00,124,31.8,53.5,27.125,55517
2025-11-19T16:01:02-06:00,125,31.8,53.5,27.125,55453
2025-11-19T16:01:23-06:00,126,31.8,52.9,27.125,55469
2025-11-19T16:01:42-06:00,127,31.8,52.9,27.1875,55533
2025-11-19T16:02:02-06:00,128,31.9,53.1,27.1875,55613
2025-11-19T16:02:21-06:00,129,31.9,52.8,27.1875,55597
2025-11-19T16:02:42-06:00,130,31.8,52.8,27.1875,55565
2025-11-19T16:03:01-06:00,131,31.9,53,27.1875,55725
2025-11-19T16:03:22-06:00,132,31.9,52.9,27.125,55485
2025-11-19T16:03:42-06:00,133,31.9,53,27.1875,55533
2025-11-19T16:04:01-06:00,134,31.8,53,27.25,55453
2025-11-19T16:04:22-06:00,135,31.8,53.2,27.1875,55757
2025-11-19T16:04:41-06:00,136,31.8,53.3,27.25,55453
2025-11-19T16:05:02-06:00,137,31.8,53.2,27.1875,55533
2025-11-19T16:05:22-06:00,138,31.7,53.4,27.1875,55565
2025-11-19T16:05:41-06:00,139,31.6,53.4,27.25,55613
2025-11-19T16:06:02-06:00,140,31.6,53.6,27.3125,55661
2025-11-19T16:06:22-06:00,141,31.7,53.9,27.25,55645
2025-11-19T16:06:42-06:00,142,31.7,53.5,27.25,55517
2025-11-19T16:07:02-06:00,143,31.7,53.4,27.25,55725
2025-11-19T16:07:22-06:00,144,31.8,53.4,27.25,55469
2025-11-19T16:07:41-06:00,145,31.8,53.5,27.25,55581
2025-11-19T16:08:02-06:00,146,31.8,53.4,27.25,55725
2025-11-19T16:08:22-06:00,147,31.8,53.4,27.25,55517
2025-11-19T16:08:42-06:00,148,31.8,53.4,27.3125,55757
2025-11-19T16:09:02-06:00,149,31.8,53.4,27.3125,55725
2025-11-19T16:09:22-06:00,150,31.8,53.6,27.3125,55773
2025-11-19T16:09:42-06:00,151,31.8,53.6,27.3125,55677
2025-11-19T16:10:02-06:00,152,31.8,53.5,27.375,55709
2025-11-19T16:10:24-06:00,153,31.9,53.7,27.375,55693
2025-11-19T16:10:42-06:00,154,31.9,53.6,27.3125,55661
2025-11-19T16:11:02-06:00,155,31.9,53.5,27.3125,55837
2025-11-19T16:11:22-06:00,156,31.9,53.4,27.3125,55805
2025-11-19T16:11:42-06:00,157,31.9,53.3,27.375,55789
2025-11-19T16:12:02-06:00,158,31.9,53.2,27.375,55709
2025-11-19T16:12:21-06:00,159,31.8,52.9,27.3125,55709
2025-11-19T16:12:42-06:00,160,31.8,53,27.3125,55773
2025-11-19T16:13:02-06:00,161,31.7,53.1,27.375,55725
2025-11-19T16:13:21-06:00,162,31.7,53.3,27.3125,55757
2025-11-19T16:13:41-06:00,163,31.6,53.3,27.375,55581
2025-11-19T16:14:02-06:00,164,31.6,53.6,27.375,55693
2025-11-19T16:14:22-06:00,165,31.6,53.6,27.375,55709
2025-11-19T16:14:42-06:00,166,31.5,53.5,27.375,55757
2025-11-19T16:15:02-06:00,167,31.5,53.6,27.375,55741
2025-11-19T16:15:22-06:00,168,31.4,53.7,27.4375,55853
2025-11-19T16:15:42-06:00,169,31.4,53.7,27.375,55837
2025-11-19T16:16:02-06:00,170,31.4,53.8,27.3125,55789
2025-11-19T16:16:23-06:00,171,31.4,54,27.375,55837
2025-11-19T16:16:42-06:00,172,31.5,54,27.375,55853
2025-11-19T16:17:02-06:00,173,31.5,53.9,27.375,55869
2025-11-19T16:17:22-06:00,174,31.5,53.9,27.375,55901
2025-11-19T16:17:42-06:00,175,31.5,53.9,27.4375,55949
2025-11-19T16:18:02-06:00,176,31.6,54,27.4375,55901
2025-11-19T16:18:21-06:00,177,31.6,54.2,27.4375,55773
2025-11-19T16:18:41-06:00,178,31.7,54.3,27.4375,55981
2025-11-19T16:19:02-06:00,179,31.7,53.9,27.4375,56157
2025-11-19T16:19:22-06:00,180,31.8,53.8,27.375,56093
2025-11-19T16:19:42-06:00,181,31.8,53.9,27.5,56029
2025-11-19T16:20:02-06:00,182,31.8,53.6,27.4375,55709
2025-11-19T16:20:22-06:00,183,31.9,53.4,27.4375,55965
2025-11-19T16:20:42-06:00,184,31.9,53.7,27.4375,55965
2025-11-19T16:21:02-06:00,185,31.9,53.7,27.4375,55917
2025-11-19T16:21:22-06:00,186,32,53.3,27.5,56045
2025-11-19T16:21:42-06:00,187,32,53.2,27.4375,55949
2025-11-19T16:22:02-06:00,188,32,53.2,27.5625,55933
2025-11-19T16:22:22-06:00,189,32,53.2,27.5625,55901
2025-11-19T16:22:42-06:00,190,32,53.3,27.5,55933
2025-11-19T16:23:02-06:00,191,32,53.5,27.5625,56093
2025-11-19T16:23:22-06:00,192,32,53.6,27.5,56045
2025-11-19T16:23:42-06:00,193,32.1,53.4,27.5625,56013
2025-11-19T16:24:02-06:00,194,32,53.4,27.5625,55981
2025-11-19T16:24:21-06:00,195,32,53.2,27.5625,56093
2025-11-19T16:24:42-06:00,196,32,52.9,27.5625,55965
2025-11-19T16:25:02-06:00,197,32,52.8,27.5625,55949
2025-11-19T16:25:22-06:00,198,31.9,53,27.5625,55693
2025-11-19T16:25:42-06:00,199,31.9,53.3,27.5625,55853
2025-11-19T16:26:02-06:00,200,31.9,53.4,27.625,55821
2025-11-19T16:26:24-06:00,201,31.9,53.7,27.625,55981
2025-11-19T16:26:42-06:00,202,32,53.6,27.5625,55965
2025-11-19T16:27:02-06:00,203,32,53.1,27.625,55965
2025-11-19T16:27:22-06:00,204,32,53.1,27.625,55965
2025-11-19T16:27:42-06:00,205,32,53.2,27.625,56077
2025-11-19T16:28:03-06:00,206,32.1,53.1,27.625,56077
